Generic,Specialised,Abbreviations
Adenocarcinoma,fluorouracil,ARCC
anal cancer,nivolumab,IMW
anal carcinoma,pembrolizumab,AACR
androgen deprivation therapy,tumor markers,AACRIO25
auger electron therapy,biomarkers,ACCC
basal cell carcinoma,circulating tumor cells,ADC
bile duct cancer,minimal residual disease,ADCC
biliary tract cancer,5-fluorouracil,ADCs
bladder cancer,abiraterone,ADORE
bladder cancer,abiraterone acetate,AK112
bone cancer,abiraterone and prednisolone,ALK
bone metastases,abemaciclib,ALL
bone scan,acalabrutinib,AML
brain cancer,acquired resistance mechanisms,ASCO
brain tumor,adenocarcinoma at ge junction,ASCO20
breast cancer,adoptive cell transfer,ASCO21
Breast cancer,afatinib,ASCO22
breast cancer,aldoxorubicin,ASCO23
breast cancer treatment,alectinib,ASCO25
breast cancers,alkeran,ASCT
bridge therapy,alkylating agents,ASTRO
cancer,allogeneic car-t,AUA
cancer doctor,alpha particle therapy,AXL
cancer fatigue,alpelisib,BC
cancer immunology,american association for cancer research,BCL-2
cancer metabolism,american cancer society,BCL 2
cancer prevention,american society of clinical oncology,BCL-XL
cancer screening,amivantamab,BCL XL
cancer stem cells,anaplastic astrocytoma,BCMA
carcinoid tumor,anaplastic lymphoma kinase,BCR-ABL
carcinoma,anastrozole,BET
cervical cancer,androgen receptor,BH3
chemotherapy,aneuploidy,BRAF
chronic lymphocytic leukemia,angiogenesis,BRCA1
chronic lymphoid leukemia,angiogenesis inhibitors,BRCA2
chronic myeloid leukemia,angiosarcoma,BTK
chronic myelomonocytic leukemia,anti-apoptotic proteins,BiTE
colorectal cancer,antibody drug conjugates adcs,CAR T
colorectal cancer,antimetabolites,CAR
Colorectal Cancer,apoptosis,CAR-M
colo-rectal cancer,armored car-t,CAR-NK
damp release,astrocytoma,CAR-T
deep learning pathology,atezolizumab,CAR-Treg
diffuse type gastric cancer,auristatin derivatives,CB/CC
diffuse-type gastric cancer,aurora kinase inhibitor,CC-92480
digital biomarkers,avelumab,CCR4
Esophageal Cancer,axitinib,CD123
eye cancer,axl receptor,CD19
fallopian tube cancer,base editing car-t,CD20
fluorescence guided surgery,bcell lymphoma 2,CD22
follicular lymphoma,bcr-abl,CD25
gall bladder cancer,belzutifan,CD26
gastric cancer,bendamustine,CD30
Gastric Cancer,beta particle therapy,CD33
Gastric Cancers,bevacizumab,CD38
Gastric/GEJ Cancers,bh3 mimetics,CD47
Gastroesophageal Cancer,bintrafusp alfa,CD70
gastroesophageal junction cancer,bispecific antibodies,CD8
gastrointestinal stromal tumor,bispecific t cell engagers,CDC
gene therapy,blinatumab,CDK
Genitourinary Cancer,bortezomib,CDK4
genomic testing,braftovi,CDK4/6
germ cell tumor,brca1,CDK6
gynecologic oncology,brca2,CELMoD
gynecologic oncology,brachytherapy,CELMoDs
hairy cell leukemia,brigatinib,CHC
head and neck squamous cell carcinoma,bromodomain inhibitors,CHRYSALIS-2
hematology oncology,bypass pathways,CHRYSALIS2
hepatocellular carcinoma,bystander effect,CHRYSALIS 2
hypofractionated radiotherapy,cabazitaxel,CLDN18.2
inflammatory breast cancer,cabozantinib,CLL
interferon,cadonilimab,CML
intrathecal therapy,calicheamicin,CN201
intrinsic resistance,calquence,CNS
invasive ductal carcinoma,calreticulin exposure,COMy
invasive lobular carcinoma,cancer associated anemia,CR
kidney cancer,cancer cachexia,CRC
Kidney Cancer,cancer fatigue,CRPC
kidney cancer,cancer immunology,CRS
kidney cancer,cancer metabolism,CS1
liquid biopsy,cancer stem cells,CSCs
liquid biopsy,capecitabine,CTCs
liver cancer,car-nk cells,CTLA-4
lower esophageal carcinoma,car-m cells,CTX-009
lung cancer,car-t cell therapy,CXCR4
lung cancer,car-t manufacturing,ColoAd1
male breast cancer,carboplatin,DAMP
metastasis,carcinogenesis,DFCI
metastatic,carcinoid syndrome,DIPG
minimally invasive surgery,carcinomatosis,DNA
mr-guided radiotherapy,cardio-oncology,DNMT
Multiple Myeloma,catumaxomab,DS-1062
Myeloma,ceritinib,DS-6000
neoadjuvant therapy,cereblon modulator,DS6000
neoplasm,cetuximab,DX
neuroendocrine tumor,checkpoint inhibitor,DXd
nodular lymphoma,chemotherapy induced neuropathy,Dato-DXd
Oncology,cholangiocarcinoma,E3
oral cancer,chordoma,EBMT
ovarian cancer,chromatin remodeling,ECO
pancreatic and peritoneal cancer,chromothripsis,ECOG
pancreatic cancer,chromosomal instability,EGF
pancreatic cancers,cisplatin,EGFR
papillary thyroid cancer,cleavable linkers,EHA
pediatric oncology,clinical decision support,ELCC
pituitary tumor,cloud-based platforms,EMT
pleural mesothelioma,claudin 18.2,EONS
precision dosing,conditionally active car-t,ERBB2
precision medicine,conditional immune cell engagers,ESCC
precision oncology,crizotinib,ESGO
precision oncology,crossover resistance,ESMO
primary central nervous system lymphoma,cytokine release syndrome,ESMO21
